file	metric_type	metric	value	scope
ENCFF540FVR	ScAtacAlignmentQualityMetric	diff_chroms	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	diff_chroms_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	non_mito_reads	182638606	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	mito_reads	2177562	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	frac_mito_reads	0.011782313330941912	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	NRF	0.999466500576393	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	PBC1	0.9997527529143152	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	PBC2	4347.876817006607	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	distinct_fragments	75693511	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	paired_duplicate_reads	23921718	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	paired_optical_duplicate_reads	74475	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	paired_reads	75713713	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	frac_duplicate_reads	0.31595	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	positions_with_one_read	75674796	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	total_fragments	75733915	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	unpaired_duplicate_reads	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	unpaired_reads	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacLibraryComplexityQualityMetric	unmapped_reads	0	source bulk snATAC library; not Schwann-subset QC or biological replication
