experiment	file	target	chrom	start	end	output_type
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15474606	15477507	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15479171	15480143	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15489849	15492780	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15494311	15495728	pseudoreplicated peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15261943	15263684	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15409580	15410272	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15456984	15458172	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15185588	15185951	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15490445	15491086	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15377345	15378053	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15411350	15411923	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15384102	15384486	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15351892	15352342	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15475548	15476077	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15414939	15415378	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15257247	15257777	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15260351	15261666	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15247835	15248344	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15364571	15364933	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15231683	15232482	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15341387	15341728	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15273089	15273409	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15265086	15265503	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15463466	15463718	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15236274	15236690	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15469340	15469571	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15230180	15230496	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15238426	15238736	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15270841	15270976	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15181483	15181687	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15399177	15399681	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15253438	15253942	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15434254	15434758	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15448067	15448571	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15006970	15007474	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15239349	15239599	IDR thresholded peaks
ENCSR580XUK	ENCFF474ZLP	EP300	chr17	15265916	15266420	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15260619	15261199	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15257345	15257740	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15171495	15171749	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15265050	15265520	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15457247	15457492	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15436638	15437108	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15262322	15262792	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15247983	15248453	IDR thresholded peaks
ENCSR469POZ	ENCFF831KJJ	CTCF	chr17	15260619	15261217	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15262300	15262904	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15409687	15409909	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15341317	15341787	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15263176	15263646	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15257439	15257909	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15490456	15490926	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15260542	15261012	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15265088	15265558	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15414885	15415355	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15231908	15232378	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15231646	15232116	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15377607	15378077	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15377323	15377793	IDR thresholded peaks
ENCSR154GUK	ENCFF065MQK	POLR2A	chr17	15257642	15258112	IDR thresholded peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15230534	15231040	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15231132	15231946	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15232039	15232737	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15234764	15235286	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15236151	15238262	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15238593	15240134	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15241663	15242091	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15248738	15250103	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15250872	15251835	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15252266	15253167	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15253572	15254157	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15254360	15255540	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15255664	15257423	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15257987	15258206	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15258836	15259723	pseudoreplicated peaks
ENCSR157ZVP	ENCFF425MZT	H3K36me3	chr17	15259812	15260433	pseudoreplicated peaks
ENCSR479GPU	ENCFF671DNU	H3K9me3	chr17	15199797	15200306	pseudoreplicated peaks
ENCSR479GPU	ENCFF671DNU	H3K9me3	chr17	15205791	15206445	pseudoreplicated peaks
