track	assembly	chrom	start	end	value
peaks_Injury	rn5	chr10	49344600	49345299	Cut_IO
peaks_Injury	rn5	chr10	49303200	49303499	Cut_IO
peaks_Injury	rn5	chr10	49318300	49320299	Cut_IO
peaks_Injury	rn5	chr10	49332800	49333199	Cut_IO
peaks_Injury	rn5	chr10	48686700	48686899	Cut_IO
peaks_Sham	rn5	chr10	48662800	48663699	Sham_IO
peaks_Sham	rn5	chr10	49229600	49231099	Sham_IO
peaks_Sham	rn5	chr10	49226400	49226699	Sham_IO
peaks_Sham	rn5	chr10	49329600	49329899	Sham_IO
peaks_Sham	rn5	chr10	49157800	49160099	Sham_IO
peaks_Sham	rn5	chr10	49322100	49322399	Sham_IO
peaks_Sham	rn5	chr10	49202800	49203899	Sham_IO
peaks_Sham	rn5	chr10	49210300	49210599	Sham_IO
peaks_Sham	rn5	chr10	49332500	49333099	Sham_IO
peaks_Sham	rn5	chr10	48663900	48664199	Sham_IO
peaks_Sham	rn5	chr10	49311900	49312199	Sham_IO
peaks_Sham	rn5	chr10	48762300	48762699	Sham_IO
peaks_Sham	rn5	chr10	49186600	49187399	Sham_IO
peaks_Sham	rn5	chr10	49320700	49321799	Sham_IO
peaks_Sham	rn5	chr10	49096200	49096399	Sham_IO
peaks_Sham	rn5	chr10	49169000	49169199	Sham_IO
peaks_Sham	rn5	chr10	48763100	48764299	Sham_IO
peaks_Sham	rn5	chr10	49232100	49233099	Sham_IO
peaks_Sham	rn5	chr10	49233500	49234099	Sham_IO
peaks_Sham	rn5	chr10	49187600	49187899	Sham_IO
peaks_Sham	rn5	chr10	49191000	49194799	Sham_IO
peaks_Sham	rn5	chr10	49110000	49110799	Sham_IO
peaks_Sham	rn5	chr10	49149900	49151199	Sham_IO
peaks_Sham	rn5	chr10	49326100	49326299	Sham_IO
peaks_Sham	rn5	chr10	49343800	49343999	Sham_IO
peaks_Sham	rn5	chr10	49209500	49209699	Sham_IO
peaks_Sham	rn5	chr10	49215000	49216299	Sham_IO
peaks_Sham	rn5	chr10	49206400	49206799	Sham_IO
peaks_Sham	rn5	chr10	49212900	49213799	Sham_IO
peaks_Sham	rn5	chr10	48761800	48762099	Sham_IO
peaks_Sham	rn5	chr10	49302600	49303799	Sham_IO
peaks_Sham	rn5	chr10	49345200	49345399	Sham_IO
peaks_Sham	rn5	chr10	49095700	49095899	Sham_IO
peaks_Sham	rn5	chr10	49342300	49342499	Sham_IO
peaks_Sham	rn5	chr10	49164800	49165099	Sham_IO
peaks_Sham	rn5	chr10	49102600	49102999	Sham_IO
peaks_Sham	rn5	chr10	49105100	49105399	Sham_IO
peaks_Sham	rn5	chr10	48709800	48709999	Sham_IO
peaks_Sham	rn5	chr10	49104400	49104699	Sham_IO
peaks_Sham	rn5	chr10	49328500	49328899	Sham_IO
peaks_Sham	rn5	chr10	49312400	49320399	Sham_IO
peaks_Sham	rn5	chr10	49103500	49103699	Sham_IO
peaks_Sham	rn5	chr10	49207400	49209099	Sham_IO
peaks_Sham	rn5	chr10	48754100	48754299	Sham_IO
peaks_Sham	rn5	chr10	49169400	49169899	Sham_IO
peaks_Sham	rn5	chr10	48751800	48752099	Sham_IO
peaks_Sham	rn5	chr10	50271200	50271399	Sham_IO
peaks_Sham	rn5	chr10	48559600	48559899	Sham_IO
peaks_Sham	rn5	chr10	49188500	49188699	Sham_IO
peaks_Sham	rn5	chr10	49108000	49109299	Sham_IO
peaks_Sham	rn5	chr10	48953600	48953799	Sham_IO
peaks_Sham	rn5	chr10	49341800	49342099	Sham_IO
peaks_Sham	rn5	chr10	49161600	49162099	Sham_IO
peaks_Sham	rn5	chr10	49322600	49323499	Sham_IO
peaks_Sham	rn5	chr10	49201300	49202599	Sham_IO
peaks_Sham	rn5	chr10	49344200	49344599	Sham_IO
peaks_Sham	rn5	chr10	49205200	49205799	Sham_IO
peaks_Sham	rn5	chr10	49106200	49106499	Sham_IO
peaks_Sham	rn5	chr10	49311200	49311599	Sham_IO
peaks_Sham	rn5	chr10	49156500	49157599	Sham_IO
peaks_Sham	rn5	chr10	49098600	49101899	Sham_IO
peaks_Sham	rn5	chr10	49160300	49161099	Sham_IO
peaks_Sham	rn5	chr10	49112300	49113399	Sham_IO
peaks_Sham	rn5	chr10	49186000	49186199	Sham_IO
peaks_Sham	rn5	chr10	49198300	49198499	Sham_IO
peaks_Sham	rn5	chr10	49109500	49109699	Sham_IO
peaks_Sham	rn5	chr10	49196400	49196599	Sham_IO
peaks_Sham	rn5	chr10	49094700	49094999	Sham_IO
peaks_Sham	rn5	chr10	49330100	49330699	Sham_IO
peaks_Sham	rn5	chr10	49111700	49111999	Sham_IO
peaks_Sham	rn5	chr10	49331100	49332099	Sham_IO
peaks_Sham	rn5	chr10	49225300	49225999	Sham_IO
peaks_Sham	rn5	chr10	49011900	49012099	Sham_IO
peaks_Sham	rn5	chr10	49226900	49229399	Sham_IO
peaks_Sham	rn5	chr10	49324100	49324599	Sham_IO
peaks_Sham	rn5	chr10	49214100	49214499	Sham_IO
peaks_Sham	rn5	chr10	49190400	49190799	Sham_IO
peaks_Sham	rn5	chr10	49222000	49222399	Sham_IO
peaks_Sham	rn5	chr10	49163200	49164599	Sham_IO
peaks_Sham	rn5	chr10	49310400	49310699	Sham_IO
peaks_Sham	rn5	chr10	49093800	49094099	Sham_IO
peaks_Sham	rn5	chr10	49216500	49218099	Sham_IO
peaks_Sham	rn5	chr10	48387300	48387599	Sham_IO
