donor	chrom	start	end	strand	tags
CNhs12073	chr17	15262500	15262501	-	1.0
CNhs12073	chr17	15262503	15262504	-	1.0
CNhs12073	chr17	15262513	15262514	-	2.0
CNhs12073	chr17	15262514	15262515	-	2.0
CNhs12073	chr17	15262515	15262516	-	8.0
CNhs12073	chr17	15262516	15262517	-	4.0
CNhs12073	chr17	15262517	15262518	-	5.0
CNhs12073	chr17	15262518	15262519	-	1.0
CNhs12073	chr17	15262519	15262520	-	1.0
CNhs12073	chr17	15262522	15262523	-	2.0
CNhs12073	chr17	15262523	15262524	-	1.0
CNhs12073	chr17	15262525	15262526	-	1.0
CNhs12073	chr17	15262528	15262529	-	1.0
CNhs12073	chr17	15262530	15262531	-	1.0
CNhs12073	chr17	15262534	15262535	-	2.0
CNhs12073	chr17	15262536	15262537	-	2.0
CNhs12073	chr17	15262537	15262538	-	1.0
CNhs12073	chr17	15262540	15262541	-	1.0
CNhs12073	chr17	15262542	15262543	-	2.0
CNhs12073	chr17	15262543	15262544	-	13.0
CNhs12073	chr17	15262544	15262545	-	2.0
CNhs12073	chr17	15262545	15262546	-	9.0
CNhs12073	chr17	15262547	15262548	-	1.0
CNhs12073	chr17	15262548	15262549	-	2.0
CNhs12073	chr17	15262549	15262550	-	3.0
CNhs12073	chr17	15262550	15262551	-	17.0
CNhs12073	chr17	15262551	15262552	-	123.0
CNhs12073	chr17	15262552	15262553	-	30.0
CNhs12073	chr17	15262553	15262554	-	2.0
CNhs12073	chr17	15262554	15262555	-	13.0
CNhs12073	chr17	15262555	15262556	-	1.0
CNhs12073	chr17	15262556	15262557	-	4.0
CNhs12073	chr17	15262557	15262558	-	1.0
CNhs12073	chr17	15262561	15262562	-	1.0
CNhs12073	chr17	15262562	15262563	-	3.0
CNhs12073	chr17	15262563	15262564	-	4.0
CNhs12073	chr17	15262564	15262565	-	1.0
CNhs12073	chr17	15262565	15262566	-	5.0
CNhs12073	chr17	15262567	15262568	-	1.0
CNhs12073	chr17	15262568	15262569	-	1.0
CNhs12073	chr17	15262570	15262571	-	1.0
CNhs12073	chr17	15262572	15262573	-	1.0
CNhs12073	chr17	15262573	15262574	-	1.0
CNhs12073	chr17	15262584	15262585	-	1.0
CNhs12073	chr17	15262604	15262605	-	1.0
CNhs12073	chr17	15262612	15262613	-	1.0
CNhs12073	chr17	15262617	15262618	-	2.0
CNhs12073	chr17	15262679	15262680	-	1.0
CNhs12073	chr17	15265274	15265275	-	1.0
CNhs12073	chr17	15265319	15265320	-	1.0
CNhs12073	chr17	15265321	15265322	-	1.0
CNhs12073	chr17	15265325	15265326	-	19.0
CNhs12073	chr17	15399574	15399575	-	1.0
CNhs12073	chr17	15436902	15436903	-	1.0
CNhs12073	chr17	15502851	15502852	-	1.0
CNhs12073	chr17	15563586	15563587	-	1.0
CNhs12073	chr17	15563591	15563592	-	2.0
CNhs12073	chr17	15563621	15563622	-	1.0
CNhs12345	chr17	15026585	15026586	+	1.0
CNhs12345	chr17	15045030	15045031	+	1.0
CNhs12345	chr17	15176193	15176194	+	1.0
CNhs12345	chr17	15195372	15195373	+	1.0
CNhs12345	chr17	15209193	15209194	+	1.0
CNhs12345	chr17	15295669	15295670	+	1.0
CNhs12345	chr17	15341994	15341995	+	1.0
CNhs12345	chr17	15398932	15398933	+	1.0
CNhs12345	chr17	15495307	15495308	+	1.0
CNhs12345	chr17	15109385	15109386	-	1.0
CNhs12345	chr17	15147213	15147214	-	1.0
CNhs12345	chr17	15172086	15172087	-	1.0
CNhs12345	chr17	15230634	15230635	-	1.0
CNhs12345	chr17	15260761	15260762	-	1.0
CNhs12345	chr17	15260824	15260825	-	1.0
CNhs12345	chr17	15262552	15262553	-	1.0
CNhs12345	chr17	15308016	15308017	-	1.0
CNhs12345	chr17	15474583	15474584	-	1.0
CNhs12345	chr17	15563488	15563489	-	1.0
CNhs12621	chr17	15157499	15157500	+	1.0
CNhs12621	chr17	15202910	15202911	+	1.0
CNhs12621	chr17	15230344	15230345	+	1.0
CNhs12621	chr17	15230492	15230493	+	1.0
CNhs12621	chr17	15230513	15230514	+	1.0
CNhs12621	chr17	15230539	15230540	+	1.0
CNhs12621	chr17	15230773	15230774	+	2.0
CNhs12621	chr17	15230789	15230790	+	1.0
CNhs12621	chr17	15230895	15230896	+	1.0
CNhs12621	chr17	15240446	15240447	+	1.0
CNhs12621	chr17	15260565	15260566	+	1.0
CNhs12621	chr17	15260641	15260642	+	1.0
CNhs12621	chr17	15438106	15438107	+	1.0
CNhs12621	chr17	15443610	15443611	+	2.0
CNhs12621	chr17	15043880	15043881	-	1.0
CNhs12621	chr17	15074639	15074640	-	1.0
CNhs12621	chr17	15126785	15126786	-	1.0
CNhs12621	chr17	15230432	15230433	-	1.0
CNhs12621	chr17	15230620	15230621	-	2.0
CNhs12621	chr17	15230742	15230743	-	1.0
CNhs12621	chr17	15230764	15230765	-	1.0
CNhs12621	chr17	15230766	15230767	-	1.0
CNhs12621	chr17	15230777	15230778	-	4.0
CNhs12621	chr17	15230778	15230779	-	2.0
CNhs12621	chr17	15230780	15230781	-	1.0
CNhs12621	chr17	15230781	15230782	-	1.0
CNhs12621	chr17	15230840	15230841	-	1.0
CNhs12621	chr17	15230901	15230902	-	1.0
CNhs12621	chr17	15230967	15230968	-	1.0
CNhs12621	chr17	15239508	15239509	-	2.0
CNhs12621	chr17	15239561	15239562	-	1.0
CNhs12621	chr17	15239579	15239580	-	1.0
CNhs12621	chr17	15259150	15259151	-	1.0
CNhs12621	chr17	15260723	15260724	-	1.0
CNhs12621	chr17	15260730	15260731	-	1.0
CNhs12621	chr17	15260781	15260782	-	1.0
CNhs12621	chr17	15260785	15260786	-	1.0
CNhs12621	chr17	15260787	15260788	-	2.0
CNhs12621	chr17	15260788	15260789	-	1.0
CNhs12621	chr17	15260792	15260793	-	1.0
CNhs12621	chr17	15260793	15260794	-	1.0
CNhs12621	chr17	15260794	15260795	-	1.0
CNhs12621	chr17	15260797	15260798	-	2.0
CNhs12621	chr17	15260800	15260801	-	2.0
CNhs12621	chr17	15260802	15260803	-	1.0
CNhs12621	chr17	15260803	15260804	-	2.0
CNhs12621	chr17	15260813	15260814	-	2.0
CNhs12621	chr17	15260815	15260816	-	5.0
CNhs12621	chr17	15260816	15260817	-	1.0
CNhs12621	chr17	15260817	15260818	-	4.0
CNhs12621	chr17	15260818	15260819	-	1.0
CNhs12621	chr17	15260820	15260821	-	3.0
CNhs12621	chr17	15260821	15260822	-	2.0
CNhs12621	chr17	15260822	15260823	-	2.0
CNhs12621	chr17	15260828	15260829	-	1.0
CNhs12621	chr17	15260832	15260833	-	1.0
CNhs12621	chr17	15261369	15261370	-	1.0
CNhs12621	chr17	15262492	15262493	-	1.0
CNhs12621	chr17	15262497	15262498	-	1.0
CNhs12621	chr17	15262498	15262499	-	1.0
CNhs12621	chr17	15262508	15262509	-	1.0
CNhs12621	chr17	15262510	15262511	-	1.0
CNhs12621	chr17	15262513	15262514	-	2.0
CNhs12621	chr17	15262514	15262515	-	1.0
CNhs12621	chr17	15262515	15262516	-	5.0
CNhs12621	chr17	15262516	15262517	-	2.0
CNhs12621	chr17	15262517	15262518	-	6.0
CNhs12621	chr17	15262518	15262519	-	3.0
CNhs12621	chr17	15262519	15262520	-	2.0
CNhs12621	chr17	15262520	15262521	-	1.0
CNhs12621	chr17	15262521	15262522	-	3.0
CNhs12621	chr17	15262522	15262523	-	3.0
CNhs12621	chr17	15262526	15262527	-	1.0
CNhs12621	chr17	15262528	15262529	-	3.0
CNhs12621	chr17	15262529	15262530	-	1.0
CNhs12621	chr17	15262531	15262532	-	1.0
CNhs12621	chr17	15262532	15262533	-	1.0
CNhs12621	chr17	15262533	15262534	-	1.0
CNhs12621	chr17	15262534	15262535	-	1.0
CNhs12621	chr17	15262543	15262544	-	8.0
CNhs12621	chr17	15262544	15262545	-	1.0
CNhs12621	chr17	15262545	15262546	-	5.0
CNhs12621	chr17	15262547	15262548	-	1.0
CNhs12621	chr17	15262550	15262551	-	5.0
CNhs12621	chr17	15262551	15262552	-	13.0
CNhs12621	chr17	15262552	15262553	-	8.0
CNhs12621	chr17	15262553	15262554	-	4.0
CNhs12621	chr17	15262554	15262555	-	11.0
CNhs12621	chr17	15262555	15262556	-	2.0
CNhs12621	chr17	15262556	15262557	-	2.0
CNhs12621	chr17	15262558	15262559	-	1.0
CNhs12621	chr17	15262559	15262560	-	1.0
CNhs12621	chr17	15262562	15262563	-	1.0
CNhs12621	chr17	15262563	15262564	-	2.0
CNhs12621	chr17	15262565	15262566	-	4.0
CNhs12621	chr17	15262568	15262569	-	1.0
CNhs12621	chr17	15262569	15262570	-	1.0
CNhs12621	chr17	15262574	15262575	-	1.0
CNhs12621	chr17	15262576	15262577	-	2.0
CNhs12621	chr17	15262578	15262579	-	1.0
CNhs12621	chr17	15262580	15262581	-	1.0
CNhs12621	chr17	15262589	15262590	-	1.0
CNhs12621	chr17	15262619	15262620	-	1.0
CNhs12621	chr17	15262621	15262622	-	2.0
CNhs12621	chr17	15265326	15265327	-	1.0
CNhs12621	chr17	15306539	15306540	-	1.0
CNhs12621	chr17	15416190	15416191	-	1.0
CNhs12621	chr17	15426698	15426699	-	1.0
CNhs12621	chr17	15429662	15429663	-	1.0
CNhs12621	chr17	15449119	15449120	-	1.0
CNhs12621	chr17	15494459	15494460	-	1.0
CNhs12621	chr17	15502845	15502846	-	1.0
CNhs12621	chr17	15503121	15503122	-	1.0
CNhs12621	chr17	15503556	15503557	-	1.0
CNhs12621	chr17	15509225	15509226	-	1.0
CNhs12621	chr17	15563472	15563473	-	1.0
CNhs12621	chr17	15563474	15563475	-	1.0
