track	chrom	start	end	value
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48332844	48332991	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48332991	48332994	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48335778	48335928	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48336051	48336177	6.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48336177	48336201	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48336201	48336232	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48336232	48336327	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48337016	48337019	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48337019	48337166	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48337166	48337169	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48337275	48337425	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48337846	48337867	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48337867	48337878	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48337878	48337996	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48337996	48338017	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48338017	48338025	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48338025	48338175	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48338298	48338307	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48338307	48338448	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48338448	48338457	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48339905	48340055	6.4
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48340055	48340078	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48340246	48340248	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48340248	48340396	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48340396	48340398	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48341539	48341689	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48342322	48342335	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48342335	48342472	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48342472	48342485	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48343113	48343200	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48343200	48343263	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48343263	48343350	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48343615	48343765	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48344368	48344442	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48344442	48344518	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48344518	48344592	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48345333	48345483	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48345842	48345886	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48345886	48345891	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48345891	48345992	15.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48345992	48346036	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48346036	48346041	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48346041	48346043	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48347309	48347459	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48347562	48347626	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48347626	48347712	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48347712	48347776	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48349004	48349039	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48349039	48349154	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48349154	48349940	0.1
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48349940	48350090	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48350187	48350296	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48350296	48350337	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48350337	48350446	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48350446	48350900	0.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48352432	48352557	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48352557	48352582	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48352582	48352707	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48353332	48353482	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48354473	48354498	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48354498	48354623	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48354623	48354966	0.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48354966	48355116	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48355210	48355242	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48355242	48355360	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48355360	48355392	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48357161	48357311	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48357325	48357393	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48357393	48357475	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48357475	48357543	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48357840	48357990	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358201	48358235	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358235	48358313	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358313	48358351	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358351	48358385	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358385	48358429	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358429	48358463	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358463	48358579	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358672	48358694	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48358694	48358844	4.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48360500	48360650	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48360894	48360906	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48360906	48360920	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48360920	48360949	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48360949	48360976	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48360976	48361044	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48361044	48361056	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48361056	48361099	5.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48361099	48361126	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48361689	48361739	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48361739	48361839	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48361839	48361889	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48362701	48362804	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48362804	48362851	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48362851	48362954	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363417	48363467	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363467	48363489	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363489	48363509	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363509	48363567	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363567	48363617	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363617	48363639	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363639	48363659	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363686	48363795	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363795	48363836	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48363836	48363945	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48365209	48365296	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48365296	48365359	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48365359	48365446	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48367499	48367635	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48367635	48367649	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48367649	48367652	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48367652	48367778	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48367778	48367785	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48367785	48367802	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48367802	48367928	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48368405	48368555	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48368962	48369112	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48371882	48372017	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48372017	48372032	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48372032	48372167	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48372296	48372367	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48372367	48372446	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48372446	48372517	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48374283	48374300	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48374300	48374433	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48374433	48374450	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48374579	48374893	1.1
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48374893	48375043	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48378133	48378283	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48378467	48378617	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48378868	48379018	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48379449	48379599	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48379617	48379767	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48381761	48381786	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48381786	48381911	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48381911	48381936	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48382159	48382165	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48382165	48382309	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48382309	48382315	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48382711	48382820	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48382820	48382861	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48382861	48382970	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48383203	48383342	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48383342	48383353	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48383353	48383492	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48383630	48383780	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48384773	48385186	0.8
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385186	48385336	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385354	48385379	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385379	48385383	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385383	48385384	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385384	48385410	18.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385410	48385459	20.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385459	48385504	24.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385504	48385529	20.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385529	48385533	15.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385533	48385534	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385534	48385560	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385560	48385609	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48385609	48385861	1.3
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387052	48387058	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387058	48387202	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387202	48387204	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387204	48387208	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387208	48387217	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387217	48387265	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387265	48387319	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387319	48387354	15.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387354	48387367	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387367	48387372	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387372	48387415	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387415	48387469	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387469	48387522	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387532	48387543	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387543	48387616	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387616	48387621	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387621	48387623	15.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387623	48387682	20.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387682	48387693	15.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387693	48387711	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387711	48387716	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387716	48387766	18.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387766	48387771	15.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387771	48387773	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387773	48387818	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387818	48387839	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387839	48387861	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387861	48387866	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387866	48387968	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48387968	48388067	0.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48388067	48388217	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48388629	48388661	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48388661	48388779	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48388779	48388811	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389305	48389320	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389320	48389455	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389455	48389462	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389462	48389470	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389470	48389547	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389547	48389595	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389595	48389600	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389600	48389612	15.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389612	48389697	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389697	48389745	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389745	48389750	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48389927	48390077	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48391723	48391873	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48395120	48395270	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48396301	48396389	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48396389	48396451	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48396451	48396539	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48396769	48396822	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48396822	48396919	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48396919	48396972	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48399987	48400030	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48400030	48400137	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48400137	48400180	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48400180	48401710	0.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48401925	48401951	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48401951	48402075	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48402075	48402101	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48403858	48404008	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48404012	48404162	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48404763	48404913	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48406261	48406411	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48406705	48406763	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48406763	48406855	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48406855	48406913	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48407889	48408039	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48409027	48409177	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48409248	48409324	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48409324	48409372	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48409372	48409398	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48409398	48409474	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48409474	48409522	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48410502	48410525	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48410525	48410652	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48410652	48410675	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48411834	48411860	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48411860	48411900	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48411900	48411948	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48411948	48411984	15.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48411984	48412010	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412010	48412050	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412050	48412098	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412407	48412433	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412433	48412472	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412472	48412557	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412557	48412580	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412580	48412583	13.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412583	48412622	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48412622	48412628	4.5
